country_iso3,gdp_us_dollar
SEN,17774766636.0
SGP,308004146058.0
SLB,1307061544.0
SLE,4218723875.0
SLV,23438240000.0
SMR,1419394771.0
YUG,39655958843.0
Sub-Saharan Africa (excluding high income),1648848763841.0
South Sudan,11997800760.0
Sub-Saharan Africa,1661914707751.0
Small states,452652416568.0
STP,316065369.9
SUR,4787367928.0
SVK,88467555244.0
SVN,43090173395.0
SWE,505103781350.0
Eswatini,4062660890.0
Sint Maarten (Dutch part),1253072626.0
SYC,1377495054.0
Turks and Caicos Islands,942070000.0
TCD,10950392220.0
East Asia & Pacific (IDA & IBRD countries),13269125320571.0
Europe & Central Asia (IDA & IBRD countries),3621705460712.0
TGO,4180866177.0
THA,401295941041.0
TJK,7854602392.0
TKM,35799714286.0
Latin America & the Caribbean (IDA & IBRD countries),5300255692640.0
Timor-Leste,1594410800.0
Middle East & North Africa (IDA & IBRD countries),1426043431411.0
TON,437006227.2
South Asia (IDA & IBRD),2697257705966.0
Sub-Saharan Africa (IDA & IBRD countries),1661914707751.0
TTO,25062893969.0
TUN,43173480832.0
TUR,864314287106.0
TUV,35492074.22
TZA,47378599025.0
UGA,32248116584.0
UKR,91030959455.0
Upper middle income,21352171851051.0
URY,53274304222.0
USA,18224704440000.0
UZB,81847410182.0
VCT,755400000.0
VIR,3748000000.0
VNM,193241108710.0
VUT,759689950.9
WLD,75217722628912.0
WSM,788307330.6
Kosovo,6442915788.0
YEM,42450620876.0
ZAF,317620522795.0
ZMB,21243339048.0
ZWE,19963120600.0
VEN,323595000000
SWZ,4062999999
