country_iso3,gdp_us_dollar
Late-demographic dividend,20547417514605.0
LTU,47758736932.0
LUX,64181944723.0
LVA,30458763246.0
"Macao SAR, China",50751059058.0
MAR,109682728023.0
MCO,6431314957.0
MDA,9669759987.0
MDG,13176313233.0
MDV,4754352301.0
Middle East & North Africa,3272607336334.0
MEX,1158913035796.0
MHL,212881000.0
Middle income,29355518486025.0
MKD,11307058382.0
MLI,15365627045.0
MLT,13146963159.0
MMR,68945867478.0
Middle East & North Africa (excluding high income),1436549350150.0
YUG,4844606146.0
MNG,11425755280.0
MNP,1601000000.0
MOZ,13219084261.0
MRT,6758390729.0
MUS,13259351418.0
MWI,6303292264.0
MYS,319112136545.0
North America,21176374062227.0
NAM,12741746524.0
NER,11189541083.0
NGA,375746469539.0
NIC,13785909906.0
NLD,833869641687.0
NOR,398393955269.0
NPL,25180583770.0
NRU,109585941.6
NZL,205415864858.0
OECD members,50320155133068.0
OMN,70598026283.0
Other small states,398893497014.0
PAK,304567253219.0
PAN,62219000000.0
PER,211007207484.0
PHL,328480738147.0
PLW,286106800.0
PNG,22742613549.0
POL,526508877305.0
Pre-demographic dividend,1267095772749.0
PRI,103445500000.0
PRT,221357874719.0
PRY,39008900332.0
West Bank and Gaza,16128000000.0
Pacific island small states,10212875641.0
Post-demographic dividend,47470259139153.0
QAT,161099122215.0
ROM,211695422579.0
RUS,1574199387071.0
RWA,9253098954.0
South Asia,3345716338949.0
SAU,688586244287.0
SDN,45021077955.0
SEN,20996564752.0
SGP,341863349989.0
SLB,1483758907.0
SLE,3739577973.0
SLV,24979200000.0
SMR,1528630707.0
YUG,44179055280.0
Sub-Saharan Africa (excluding high income),1626990301193.0
Sub-Saharan Africa,1641784086542.0
Small states,480558936882.0
STP,375614556.4
SUR,3216207914.0
SVK,95494424979.0
SVN,48586603448.0
SWE,541018749769.0
Eswatini,4402973000.0
Sint Maarten (Dutch part),1191620112.0
SYC,1524486800.0
Turks and Caicos Islands,1022365000.0
TCD,10000395242.0
East Asia & Pacific (IDA & IBRD countries),14807652296164.0
Europe & Central Asia (IDA & IBRD countries),3908497177205.0
TGO,4819949975.0
THA,456294704153.0
TJK,7157865188.0
TKM,37926285714.0
Latin America & the Caribbean (IDA & IBRD countries),5755251917064.0
Timor-Leste,1599338100.0
Middle East & North Africa (IDA & IBRD countries),1420124946945.0
TON,460379145.0
South Asia (IDA & IBRD),3345716338949.0
Sub-Saharan Africa (IDA & IBRD countries),1641784086542.0
TTO,22474828527.0
TUN,39802430355.0
TUR,858988610574.0
TUV,40619251.99
TZA,53320625959.0
UGA,30756466548.0
UKR,112190355158.0
Upper middle income,23580671477851.0
URY,59530088537.0
USA,19519353692000.0
UZB,59159945321.0
VCT,792177777.8
VIR,3855000000.0
VNM,223779865815.0
VUT,880043553.7
WLD,81306030232473.0
WSM,832153612.6
Kosovo,7245707185.0
YEM,26736139802.0
ZAF,349554116684.0
ZMB,25868165345.0
ZWE,22040902300.0
SWZ,4403000000
VEN,143840000000
